time,total_credit_outstanding,credit_default_rate,gini_coefficient,nagents
0,0.0,0.0,0.23110204081632646,50
1,0.0,0.0,0.25712230215827336,50
2,0.0,0.0,0.2912965722801788,50
3,0.0,0.0,0.3279758308157099,50
4,0.0,0.0,0.32409026798307483,50
5,0.0,0.0,0.31298429319371723,50
6,0.0,0.0,0.31341553637484587,50
7,0.0,0.0,0.3479126213592232,50
8,0.0,0.0,0.33836919592298975,50
9,0.0,0.0,0.34150053590568064,50
10,0.0,0.0,0.37385909568874864,50
11,0.0,0.0,0.3795564516129033,50
12,0.0,0.0,0.36996212121212113,50
13,0.0,0.0,0.3819798350137489,50
14,0.0,0.0,0.3673793103448275,50
15,0.0,0.0,0.37172185430463567,50
16,0.0,0.0,0.3876067687348912,50
17,0.0,0.0,0.38762199845081335,50
18,6.0,0.0,0.3570114942528735,50
19,8.0,0.0,0.36245662734212347,50
20,12.0,0.0,0.35652870493991995,50
21,12.0,0.0,0.3678851174934725,50
22,13.0,0.0,0.3754423933800126,50
23,22.0,0.0,0.38312074303405574,50
24,22.0,0.0,0.37043683589138143,50
25,27.0,0.0,0.36919290211791633,50
26,28.0,0.0,0.36444198895027613,50
27,29.0,0.0,0.37220723151645974,50
28,24.0,0.0,0.3602172788411795,50
29,26.1,0.0,0.3682628918099091,50
30,26.5,0.0,0.3756122650840752,50
31,26.5,0.0,0.3713374939990397,50
32,25.5,0.08333333333333333,0.376971804511278,50
33,19.6,0.09090909090909091,0.3847113970588236,50
34,33.300000000000004,0.07692307692307693,0.3761332206856689,50
35,31.400000000000006,0.07692307692307693,0.38316179354220226,50
36,30.400000000000006,0.08333333333333333,0.3894899311642226,50
37,33.800000000000004,0.08333333333333333,0.3796870731404445,50
38,32.800000000000004,0.09090909090909091,0.37602078214990553,50
39,28.700000000000003,0.125,0.38044584930261993,50
40,29.140000000000004,0.125,0.3898805865650161,50
41,32.980000000000004,0.1111111111111111,0.3958086351294503,50
42,32.980000000000004,0.1111111111111111,0.3963140192516579,50
43,41.290000000000006,0.2222222222222222,0.3990085696421346,50
44,43.70000000000002,0.125,0.39506471666247434,50
45,42.70000000000002,0.14285714285714285,0.3959861918348657,50
46,42.70000000000002,0.2857142857142857,0.39683086176501114,50
47,45.34000000000002,0.2857142857142857,0.40089026506516023,50
48,32.64000000000001,0.16666666666666666,0.3775406232828322,50
49,32.64000000000001,0.16666666666666666,0.3802434724420596,50
50,33.12400000000001,0.16666666666666666,0.3718203971912726,50
51,29.284000000000013,0.2,0.37533170810182037,50
52,29.284000000000013,0.2,0.3770766440682092,50
53,18.87400000000001,0.25,0.38238786131317015,50
54,14.464000000000004,0.3333333333333333,0.3860211147556405,50
55,12.364000000000003,0.0,0.38191232017422694,50
56,12.364000000000003,0.0,0.3778157030555933,50
57,5.324,0.0,0.3797719729977398,50
58,5.324,0.0,0.38032629181352884,50
59,5.324,0.0,0.3813485587413308,50
60,0.0,0.0,0.4292729208872885,50
61,0.0,0.0,0.42298969484600013,50
62,0.0,0.0,0.4352459605426784,50
63,0.0,0.0,0.4369304459406267,50
64,0.0,0.0,0.4378958712727494,50
65,0.0,0.0,0.4373413159420507,50
66,11.0,0.0,0.43301913157801675,50
67,12.0,0.0,0.44885699525542044,50
68,12.0,0.0,0.45848600675060247,50
69,12.0,0.0,0.4707628413046505,50
70,12.0,0.0,0.46572991746520054,50
71,13.0,0.0,0.46828343215731505,50
72,14.0,0.0,0.47526250866076714,50
73,19.0,0.0,0.47613419327631235,50
74,19.0,0.0,0.4817928294907532,50
75,19.0,0.0,0.47920004977983255,50
76,7.0,0.0,0.5008362759770659,50
77,19.200000000000003,0.25,0.5012680726970651,50
78,29.400000000000006,0.4,0.49654299194206986,50
79,29.400000000000006,0.4,0.4975879463209947,50
80,31.400000000000006,0.3333333333333333,0.49791596055345244,50
81,31.200000000000003,0.3333333333333333,0.5025226991747516,50
82,32.300000000000004,0.3333333333333333,0.4956632068958988,50
83,28.400000000000006,0.4,0.5011677229974287,50
84,28.400000000000006,0.4,0.5015185847679899,50
85,29.400000000000006,0.3333333333333333,0.5057378334429521,50
86,29.400000000000006,0.3333333333333333,0.4970696969233681,50
87,16.200000000000003,0.2,0.5063120040225295,50
88,15.200000000000003,0.25,0.5222230097462215,50
89,15.200000000000003,0.25,0.5120683671628183,50
90,13.200000000000003,0.6666666666666666,0.516535991989957,50
91,1.0,0.0,0.5220942772496238,50
92,1.0,0.0,0.5163954296135538,50
93,1.0,0.0,0.5056137980608923,50
94,1.0,0.0,0.5091161289496264,50
95,1.0,0.0,0.5065124399096188,50
96,1.0,0.0,0.5133121589235699,50
97,1.0,0.0,0.5064021038111408,50
98,1.0,0.0,0.5076054179191598,50
99,1.0,0.0,0.5081116993262615,50
100,1.1399999999999983,0.0,0.5050153078190271,50
101,14.720000000000002,0.5,0.5000629756787618,50
102,14.720000000000002,0.5,0.5070293073353824,50
103,14.720000000000002,0.5,0.497409579176443,50
104,16.720000000000002,0.3333333333333333,0.4984669355053266,50
105,22.72,0.6666666666666666,0.48356881876097413,50
106,22.72,0.6666666666666666,0.48417639243006416,50
107,22.72,0.6666666666666666,0.49074182294710345,50
108,23.72,0.5,0.4904489413723143,50
109,23.72,0.5,0.49054263302081,50
110,23.72,0.5,0.49612302207873005,50
111,9.0,0.5,0.47166593439051874,50
112,9.0,0.5,0.47654469151951173,50
113,9.0,0.5,0.4715711373827962,50
114,24.0,0.6666666666666666,0.46684520421170306,50
115,24.0,0.6666666666666666,0.466501396289126,50
116,24.0,0.6666666666666666,0.47310368279661286,50
117,24.0,0.6666666666666666,0.47435797808365643,50
118,23.0,1.0,0.47734073598841875,50
119,10.0,0.5,0.4758848294538869,50
120,2.0,0.0,0.46552903945768587,50
121,8.0,0.0,0.46684008584675385,50
122,8.0,0.0,0.46856657976792926,50
123,8.0,0.0,0.46827170896445636,50
124,8.0,0.0,0.46302398144215373,50
125,8.0,0.0,0.4637905569201626,50
126,10.0,0.0,0.46372614029271064,50
127,10.0,0.0,0.4570568963137567,50
128,10.0,0.0,0.45306073562806026,50
129,8.0,0.0,0.456315789884258,50
130,17.0,0.0,0.45727056464753457,50
131,15.0,0.25,0.4600434166035472,50
132,15.0,0.25,0.46210750535809764,50
133,15.0,0.25,0.46416847246140813,50
134,15.0,0.25,0.46604721632682433,50
135,15.0,0.25,0.4687516584888447,50
136,15.2,0.25,0.46432328520528965,50
137,15.2,0.25,0.4678398752193167,50
138,31.2,0.4,0.45975906577272263,50
139,31.2,0.4,0.46227553773640917,50
140,31.2,0.4,0.4665599340272768,50
141,33.2,0.5,0.4665853929244188,50
142,24.2,0.3333333333333333,0.4599166022720105,50
143,24.2,0.3333333333333333,0.45188217310072076,50
144,24.2,0.3333333333333333,0.4522289764552927,50
145,24.2,0.3333333333333333,0.4530389068125744,50
146,22.0,0.5,0.43919880249767496,50
147,16.0,1.0,0.4475636990583918,50
148,0.8200000000000003,0.0,0.44939149235021003,50
149,0.8200000000000003,0.0,0.4647341398424991,50
150,0.8200000000000003,0.0,0.4813449989166978,50
